indicator_code,year,baseline,downside,upside,method
ACC_MM_ACCOUNT,2025,10.206,9.7335,10.867499999999998,scenario_growth_from_last (last_year=2024)
ACC_MM_ACCOUNT,2026,11.02248,10.025504999999999,12.497624999999998,scenario_growth_from_last (last_year=2024)
ACC_MM_ACCOUNT,2027,11.9042784,10.32627015,14.372268749999996,scenario_growth_from_last (last_year=2024)
ACC_OWNERSHIP,2025,55.684210526317656,47.26315789473756,67.26315789473756,linear_trend_bootstrap_residuals_80pct
ACC_OWNERSHIP,2026,58.50000000000182,50.07894736842172,70.07894736842172,linear_trend_bootstrap_residuals_80pct
ACC_OWNERSHIP,2027,61.31578947368598,52.894736842105885,72.89473684210589,linear_trend_bootstrap_residuals_80pct
USG_P2P_VALUE,2026,681686000000.0,606585000000.0,751010000000.0,scenario_growth_from_last (last_year=2025)
USG_P2P_VALUE,2027,804389479999.9999,636914250000.0,976313000000.0001,scenario_growth_from_last (last_year=2025)
USG_TELEBIRR_USERS,2026,65808000.0,57582000.0,74034000.0,scenario_growth_from_last (last_year=2025)
USG_TELEBIRR_USERS,2027,78969600.0,60461100.0,99945900.00000001,scenario_growth_from_last (last_year=2025)
